IDTransacao,Data,IDCliente,Genero,Idade,CategoriaProduto,Quantidade,PrecoPorUnidade,ValorTotal,Mes,EhFimDeSemana,FaixaEtaria
967,2023-05-03,CLIENTE1072,Feminino,61,Eletrônicos,4,297.9,1189.67,5,0,Senior
968,2023-02-27,CLIENTE0616,Feminino,21,Beleza,5,101.15,504.5,2,0,Jovem
969,2023-12-03,CLIENTE1127,Masculino,21,Vestuário,2,183.46,360.55,12,1,Jovem
970,2023-05-16,CLIENTE0771,Feminino,69,Vestuário,4,581.3,2333.17,5,0,Senior
971,2023-12-31,CLIENTE1450,Feminino,27,Vestuário,4,218.1,871.59,12,1,Adulto
972,2023-01-03,CLIENTE0135,Feminino,41,Beleza,3,56.6,165.05,1,0,Adulto
973,2023-07-20,CLIENTE1817,Masculino,56,Vestuário,4,218.57,880.24,7,0,MeiaIdade
974,2023-02-07,CLIENTE0503,Masculino,36,Vestuário,2,340.35,672.94,2,0,Adulto
975,2023-01-29,CLIENTE0002,Feminino,56,Beleza,5,55.95,282.02,1,1,MeiaIdade
976,2023-09-16,CLIENTE0982,Feminino,70,Eletrônicos,2,260.94,519.48,9,1,Senior
977,2023-04-21,CLIENTE1637,Feminino,22,Eletrônicos,1,343.74,340.18,4,0,Jovem
978,2023-12-11,CLIENTE0903,Feminino,37,Beleza,1,125.52,123.72,12,0,Adulto
979,2023-05-25,CLIENTE1295,Masculino,28,Beleza,4,72.29,297.16,5,0,Adulto
980,2023-02-20,CLIENTE1356,Feminino,48,Vestuário,3,159.44,479.42,2,0,MeiaIdade
981,2023-09-23,CLIENTE1803,Feminino,34,Eletrônicos,1,166.52,159.31,9,1,Adulto
982,2023-06-28,CLIENTE1114,Feminino,33,Eletrônicos,2,290.01,576.76,6,0,Adulto
983,2023-11-29,CLIENTE1882,Feminino,24,Vestuário,1,490.8,494.9,11,0,Jovem
984,2023-03-26,CLIENTE0679,Masculino,64,Vestuário,1,518.55,518.68,3,1,Senior
985,2023-09-30,CLIENTE0364,Feminino,45,Beleza,2,96.04,198.87,9,1,Adulto
986,2023-07-28,CLIENTE0708,Feminino,28,Beleza,2,75.3,151.75,7,0,Adulto
987,2023-05-29,CLIENTE0511,Masculino,69,Vestuário,2,296.39,590.35,5,0,Senior
988,2023-10-21,CLIENTE1474,Feminino,26,Vestuário,1,313.81,306.13,10,1,Adulto
989,2023-06-01,CLIENTE1772,Feminino,69,Vestuário,4,111.58,453.79,6,0,Senior
990,2023-09-20,CLIENTE0027,Masculino,37,Vestuário,1,297.39,298.83,9,0,Adulto
991,2023-09-25,CLIENTE1287,Masculino,41,Eletrônicos,1,323.14,327.72,9,0,Adulto
992,2023-03-16,CLIENTE0725,Feminino,29,Vestuário,1,460.46,468.41,3,0,Adulto
993,2023-05-19,CLIENTE1211,Masculino,31,Beleza,4,28.84,123.65,5,0,Adulto
994,2023-09-10,CLIENTE0205,Masculino,33,Vestuário,4,218.08,866.39,9,1,Adulto
995,2023-02-26,CLIENTE0296,Feminino,25,Beleza,1,133.81,126.47,2,1,Jovem
996,2023-08-31,CLIENTE1311,Feminino,68,Beleza,2,73.73,155.43,8,0,Senior
997,2023-03-24,CLIENTE0228,Masculino,28,Beleza,1,77.45,83.96,3,0,Adulto
998,2023-08-09,CLIENTE1698,Feminino,32,Vestuário,1,217.78,215.87,8,0,Adulto
999,2023-10-14,CLIENTE0770,Feminino,48,Vestuário,1,512.09,521.35,10,1,MeiaIdade
1000,2023-06-13,CLIENTE0973,Feminino,46,Vestuário,2,111.25,212.97,6,0,MeiaIdade
1001,2023-06-14,CLIENTE1037,Masculino,45,Vestuário,2,52.46,108.69,6,0,Adulto
1002,2023-08-12,CLIENTE0578,Feminino,41,Eletrônicos,3,150.07,458.35,8,1,Adulto
1003,2023-01-20,CLIENTE1596,Masculino,33,Vestuário,1,169.69,172.54,1,0,Adulto
1004,2023-08-10,CLIENTE0068,Masculino,50,Vestuário,1,146.07,152.59,8,0,MeiaIdade
1005,2023-05-30,CLIENTE0695,Feminino,20,Beleza,1,135.46,125.99,5,0,Jovem
1006,2023-08-26,CLIENTE1773,Feminino,37,Beleza,1,95.7,94,8,1,Adulto
1007,2023-10-18,CLIENTE1292,Masculino,34,Vestuário,2,436.31,862.84,10,0,Adulto
1008,2023-11-27,CLIENTE1672,Masculino,41,Beleza,1,148.34,152.91,11,0,Adulto
1009,2023-08-13,CLIENTE0603,Feminino,28,Eletrônicos,1,211.56,205.11,8,1,Adulto
1010,2023-04-30,CLIENTE0636,Masculino,27,Vestuário,1,343.35,336.26,4,1,Adulto
1011,2023-04-20,CLIENTE0299,Feminino,26,Eletrônicos,1,87.76,85.35,4,0,Adulto
1012,2023-07-24,CLIENTE0640,Masculino,27,Beleza,1,142.95,142.04,7,0,Adulto
1013,2023-09-21,CLIENTE1434,Feminino,43,Vestuário,4,538.16,2146.48,9,0,Adulto
1014,2023-07-29,CLIENTE0924,Feminino,70,Vestuário,4,126.04,505.47,7,1,Senior
1015,2023-01-05,CLIENTE0767,Feminino,57,Vestuário,1,355.96,350.29,1,0,MeiaIdade
1016,2023-08-19,CLIENTE1405,Masculino,58,Eletrônicos,4,250.72,1006.8,8,1,MeiaIdade
1017,2023-05-23,CLIENTE1189,Feminino,19,Vestuário,3,139.58,410.33,5,0,Jovem
1018,2023-04-15,CLIENTE0412,Feminino,42,Eletrônicos,3,291.57,870.37,4,1,Adulto
1019,2023-01-03,CLIENTE1111,Masculino,32,Beleza,1,110.09,106.49,1,0,Adulto
1020,2023-05-09,CLIENTE1620,Feminino,49,Vestuário,5,103.29,507.99,5,0,MeiaIdade
1021,2023-04-04,CLIENTE1444,Masculino,61,Beleza,4,128.73,507.83,4,0,Senior
1022,2023-03-06,CLIENTE1516,Feminino,35,Eletrônicos,2,49.2,91.58,3,0,Adulto
1023,2023-12-25,CLIENTE0702,Feminino,69,Beleza,2,61.23,121.23,12,0,Senior
1024,2023-05-16,CLIENTE1265,Feminino,37,Beleza,3,73.7,215.51,5,0,Adulto
1025,2023-12-30,CLIENTE1110,Feminino,64,Vestuário,1,587.47,586.85,12,1,Senior
1026,2023-08-19,CLIENTE0163,Feminino,38,Beleza,2,114.49,227.56,8,1,Adulto
1027,2023-09-18,CLIENTE1122,Feminino,41,Beleza,4,63.57,262.76,9,0,Adulto
1028,2023-03-26,CLIENTE0472,Feminino,31,Beleza,3,107.81,328.5,3,1,Adulto
1029,2023-04-04,CLIENTE0035,Masculino,57,Vestuário,1,320.68,318.49,4,0,MeiaIdade
1030,2023-12-14,CLIENTE0136,Masculino,26,Beleza,3,147.92,442.26,12,0,Adulto
1031,2023-09-03,CLIENTE0029,Masculino,64,Vestuário,3,588.77,1774.4,9,1,Senior
1032,2023-11-09,CLIENTE1174,Feminino,27,Vestuário,2,459.8,912.55,11,0,Adulto
1033,2023-01-13,CLIENTE1788,Feminino,69,Beleza,4,137.38,556.14,1,0,Senior
1034,2023-11-28,CLIENTE0132,Feminino,31,Beleza,4,22.74,88.63,11,0,Adulto
1035,2023-12-16,CLIENTE0255,Feminino,65,Beleza,3,147.65,439.22,12,1,Senior
1036,2023-07-30,CLIENTE0703,Masculino,34,Vestuário,2,559.62,1115.93,7,1,Adulto
1037,2023-12-13,CLIENTE1958,Masculino,26,Beleza,4,23.05,90.81,12,0,Adulto
1038,2023-07-05,CLIENTE1795,Masculino,29,Beleza,2,52.26,104.29,7,0,Adulto
1039,2023-04-18,CLIENTE0694,Feminino,59,Vestuário,1,338.5,347.88,4,0,MeiaIdade
1040,2023-03-14,CLIENTE0891,Feminino,53,Vestuário,1,203.94,204.38,3,0,MeiaIdade
1041,2023-08-25,CLIENTE1872,Masculino,63,Beleza,3,79.8,239.98,8,0,Senior
1042,2023-11-09,CLIENTE1941,Feminino,64,Eletrônicos,1,26.97,34.53,11,0,Senior
1043,2023-03-02,CLIENTE0510,Feminino,52,Vestuário,1,192.81,200.67,3,0,MeiaIdade
1044,2023-07-15,CLIENTE1936,Masculino,24,Eletrônicos,1,37.91,34.75,7,1,Jovem
1045,2023-07-03,CLIENTE1356,Masculino,35,Eletrônicos,2,188.08,384.17,7,0,Adulto
1046,2023-01-13,CLIENTE1609,Feminino,22,Eletrônicos,1,222.39,226.89,1,0,Jovem
1047,2023-10-22,CLIENTE0296,Masculino,61,Beleza,4,93.21,371.08,10,1,Senior
1048,2023-02-27,CLIENTE1740,Masculino,44,Beleza,1,62.46,65.73,2,0,Adulto
1049,2023-08-26,CLIENTE1162,Masculino,61,Vestuário,1,546.55,541.01,8,1,Senior
1050,2023-12-15,CLIENTE0225,Feminino,69,Vestuário,5,588.57,2941.69,12,0,Senior
1051,2023-11-21,CLIENTE1338,Masculino,23,Beleza,2,102.01,195.63,11,0,Jovem
1052,2023-01-13,CLIENTE1141,Feminino,64,Beleza,2,45.42,99.19,1,0,Senior
1053,2023-01-21,CLIENTE1943,Feminino,42,Beleza,2,47.71,98.58,1,1,Adulto
1054,2023-08-06,CLIENTE0522,Masculino,25,Eletrônicos,4,216.67,861.34,8,1,Jovem
1055,2023-09-03,CLIENTE1765,Feminino,18,Beleza,1,60.86,54.73,9,1,Jovem
1056,2023-06-09,CLIENTE0465,Masculino,28,Beleza,3,46.91,144.73,6,0,Adulto
1057,2023-09-26,CLIENTE1217,Masculino,24,Beleza,1,26.96,32.92,9,0,Jovem
1058,2023-03-31,CLIENTE1210,Masculino,20,Beleza,2,109.68,219.01,3,0,Jovem
1059,2023-05-29,CLIENTE1672,Feminino,41,Vestuário,3,96.58,281.65,5,0,Adulto
1060,2023-03-14,CLIENTE0947,Feminino,21,Vestuário,2,42.44,87.9,3,0,Jovem
1061,2023-08-23,CLIENTE1745,Feminino,21,Vestuário,2,92.26,177.17,8,0,Jovem
1062,2023-11-30,CLIENTE1824,Masculino,68,Eletrônicos,3,63.13,191.18,11,0,Senior
1063,2023-10-24,CLIENTE1782,Feminino,65,Eletrônicos,2,44.15,80.88,10,0,Senior
1064,2023-02-03,CLIENTE1478,Feminino,49,Vestuário,1,319.74,322.37,2,0,MeiaIdade
1065,2023-11-16,CLIENTE1913,Feminino,55,Eletrônicos,2,198.23,405.35,11,0,MeiaIdade
1066,2023-03-18,CLIENTE1420,Masculino,25,Vestuário,2,439.01,874.1,3,1,Jovem
1067,2023-02-07,CLIENTE0781,Masculino,58,Beleza,1,143.99,151.84,2,0,MeiaIdade
1068,2023-01-10,CLIENTE0312,Feminino,59,Eletrônicos,3,323.96,972.84,1,0,MeiaIdade
1069,2023-10-12,CLIENTE1323,Feminino,43,Vestuário,2,289.86,576.02,10,0,Adulto
1070,2023-01-05,CLIENTE0765,Masculino,52,Beleza,1,40.57,40.66,1,0,MeiaIdade
1071,2023-10-22,CLIENTE0301,Masculino,48,Beleza,1,80.75,76.52,10,1,MeiaIdade
1072,2023-01-31,CLIENTE0019,Feminino,70,Eletrônicos,2,252.89,502.21,1,0,Senior
1073,2023-03-25,CLIENTE1172,Feminino,40,Beleza,2,24.5,46.64,3,1,Adulto
1074,2023-06-30,CLIENTE1258,Masculino,50,Vestuário,4,387.43,1558.63,6,0,MeiaIdade
1075,2023-04-10,CLIENTE1871,Feminino,48,Vestuário,3,486.49,1455.9,4,0,MeiaIdade
1076,2023-01-23,CLIENTE1770,Masculino,35,Beleza,3,28.83,84.46,1,0,Adulto
1077,2023-07-05,CLIENTE0470,Masculino,24,Beleza,1,33.24,25.02,7,0,Jovem
1078,2023-06-01,CLIENTE1150,Feminino,55,Eletrônicos,2,281.47,556.83,6,0,MeiaIdade
1079,2023-05-01,CLIENTE0640,Feminino,38,Vestuário,1,232.65,227.23,5,0,Adulto
1080,2023-04-12,CLIENTE1449,Feminino,29,Vestuário,2,288.26,584.95,4,0,Adulto
1081,2023-11-27,CLIENTE1018,Feminino,30,Beleza,4,124.38,495.46,11,0,Adulto
1082,2023-10-10,CLIENTE0523,Masculino,70,Beleza,4,96.72,388.23,10,0,Senior
1083,2023-05-17,CLIENTE0685,Feminino,27,Vestuário,1,326.19,322.45,5,0,Adulto
1084,2023-09-24,CLIENTE0593,Masculino,69,Vestuário,2,507.43,1022.25,9,1,Senior
1085,2023-10-19,CLIENTE1603,Masculino,30,Vestuário,1,451.02,442.47,10,0,Adulto
1086,2023-09-19,CLIENTE0009,Feminino,62,Beleza,2,90.88,177.18,9,0,Senior
1087,2023-11-06,CLIENTE0054,Masculino,25,Eletrônicos,2,347.49,695.2,11,0,Jovem
1088,2023-05-10,CLIENTE0388,Masculino,33,Vestuário,1,60.77,51.63,5,0,Adulto
1089,2023-10-23,CLIENTE1401,Masculino,41,Vestuário,2,510.02,1019.56,10,0,Adulto
1090,2023-04-09,CLIENTE0579,Feminino,49,Vestuário,3,513.3,1546.18,4,1,MeiaIdade
1091,2023-06-29,CLIENTE0921,Masculino,46,Eletrônicos,1,300.41,297.96,6,0,MeiaIdade
1092,2023-05-09,CLIENTE1924,Feminino,54,Vestuário,3,281.79,849.28,5,0,MeiaIdade
1093,2023-08-31,CLIENTE0057,Masculino,60,Beleza,4,141.65,576,8,0,MeiaIdade
1094,2023-08-01,CLIENTE0272,Masculino,32,Beleza,4,141.81,564.73,8,0,Adulto
1095,2023-08-18,CLIENTE1930,Feminino,25,Eletrônicos,1,317.62,325.6,8,0,Jovem
1096,2023-10-31,CLIENTE1393,Feminino,47,Eletrônicos,2,48.93,107.34,10,0,MeiaIdade
1097,2023-03-12,CLIENTE1614,Masculino,30,Beleza,1,79.15,83.34,3,1,Adulto
1098,2023-07-04,CLIENTE0711,Feminino,62,Beleza,2,85.12,165.91,7,0,Senior
1099,2023-10-12,CLIENTE1652,Masculino,54,Beleza,5,100.34,503.09,10,0,MeiaIdade
1100,2023-12-14,CLIENTE1594,Masculino,38,Beleza,1,50.07,59.86,12,0,Adulto
1101,2023-04-16,CLIENTE1037,Feminino,28,Beleza,4,108.88,440.97,4,1,Adulto
1102,2023-09-07,CLIENTE1904,Masculino,56,Vestuário,1,147.64,148.56,9,0,MeiaIdade
1103,2023-08-19,CLIENTE0713,Masculino,43,Vestuário,2,343.23,680.12,8,1,Adulto
1104,2023-09-14,CLIENTE1166,Feminino,57,Vestuário,3,178.7,538.32,9,0,MeiaIdade
1105,2023-08-12,CLIENTE0030,Feminino,23,Eletrônicos,1,158.99,167.35,8,1,Jovem
1106,2023-09-15,CLIENTE1829,Masculino,63,Beleza,2,73.55,152.41,9,0,Senior
1107,2023-10-01,CLIENTE0512,Masculino,54,Eletrônicos,1,248.71,254.1,10,1,MeiaIdade
1108,2023-09-27,CLIENTE0967,Feminino,18,Eletrônicos,4,146.59,585.35,9,0,Jovem
1109,2023-11-05,CLIENTE1109,Masculino,45,Vestuário,1,576.3,577.67,11,1,Adulto
1110,2023-04-05,CLIENTE1781,Masculino,64,Vestuário,5,312.83,1566.06,4,0,Senior
1111,2023-11-05,CLIENTE1479,Masculino,25,Eletrônicos,1,319.78,317.4,11,1,Jovem
1112,2023-05-07,CLIENTE1700,Feminino,40,Eletrônicos,3,232.71,689.67,5,1,Adulto
1113,2023-07-24,CLIENTE0581,Masculino,54,Vestuário,5,196.91,988.42,7,0,MeiaIdade
1114,2023-03-08,CLIENTE1769,Masculino,57,Vestuário,1,475.2,483.01,3,0,MeiaIdade
1115,2023-04-07,CLIENTE0286,Feminino,38,Vestuário,4,186.98,746.31,4,0,Adulto
1116,2023-06-27,CLIENTE0472,Feminino,18,Vestuário,1,449.46,454.39,6,0,Jovem
1117,2023-06-05,CLIENTE1882,Masculino,52,Vestuário,2,284.58,561.79,6,0,MeiaIdade
1118,2023-04-26,CLIENTE1856,Masculino,38,Beleza,2,138.42,283.24,4,0,Adulto
1119,2023-01-30,CLIENTE1860,Feminino,42,Vestuário,1,449.69,440.95,1,0,Adulto
1120,2023-11-11,CLIENTE1608,Masculino,55,Eletrônicos,1,87.04,82.22,11,1,MeiaIdade
1121,2023-04-26,CLIENTE0244,Masculino,34,Vestuário,1,399.91,395.61,4,0,Adulto
1122,2023-01-26,CLIENTE0202,Masculino,55,Eletrônicos,2,25.14,56.85,1,0,MeiaIdade
1123,2023-01-31,CLIENTE1914,Masculino,28,Vestuário,1,562.03,559.98,1,0,Adulto
1124,2023-08-03,CLIENTE1994,Feminino,40,Beleza,3,67.03,192.93,8,0,Adulto
1125,2023-11-18,CLIENTE1639,Masculino,22,Vestuário,4,46.94,180.68,11,1,Jovem
1126,2023-07-05,CLIENTE0457,Masculino,69,Vestuário,3,167.91,509.64,7,0,Senior
1127,2023-09-23,CLIENTE0309,Masculino,49,Vestuário,1,535.18,541.13,9,1,MeiaIdade
1128,2023-01-30,CLIENTE0925,Masculino,33,Vestuário,4,128.15,505.6,1,0,Adulto
1129,2023-05-13,CLIENTE1551,Feminino,25,Eletrônicos,1,86.39,80.67,5,1,Jovem
1130,2023-02-10,CLIENTE0369,Feminino,35,Beleza,3,66.69,195.98,2,0,Adulto
1131,2023-12-28,CLIENTE0189,Feminino,24,Vestuário,1,482.3,483.12,12,0,Jovem
1132,2023-09-27,CLIENTE1904,Masculino,35,Vestuário,2,195.78,381.61,9,0,Adulto
1133,2023-03-29,CLIENTE0336,Masculino,32,Eletrônicos,5,152.78,754.76,3,0,Adulto
1134,2023-04-13,CLIENTE0876,Feminino,30,Vestuário,4,122.59,483.92,4,0,Adulto
1135,2023-01-25,CLIENTE0479,Feminino,20,Eletrônicos,1,220.48,211.06,1,0,Jovem
1136,2023-05-29,CLIENTE1979,Masculino,39,Beleza,2,44.09,94.31,5,0,Adulto
1137,2023-11-03,CLIENTE1227,Feminino,48,Vestuário,2,291.3,583.68,11,0,MeiaIdade
1138,2023-04-07,CLIENTE0867,Feminino,45,Vestuário,1,181.04,187.65,4,0,Adulto
1139,2023-04-14,CLIENTE0089,Feminino,56,Eletrônicos,2,79.82,153.38,4,0,MeiaIdade
1140,2023-12-23,CLIENTE0143,Masculino,32,Eletrônicos,3,106.41,327.98,12,1,Adulto
1141,2023-11-28,CLIENTE0949,Feminino,21,Vestuário,4,226.02,907.66,11,0,Jovem
1142,2023-09-03,CLIENTE1227,Masculino,64,Beleza,2,40.8,84,9,1,Senior
1143,2023-03-23,CLIENTE0638,Feminino,40,Beleza,5,113.75,559.81,3,0,Adulto
1144,2023-10-31,CLIENTE0887,Masculino,31,Vestuário,1,141.5,143.52,10,0,Adulto
1145,2023-01-01,CLIENTE0543,Feminino,18,Vestuário,5,188.8,940.3,1,1,Jovem
1146,2023-11-28,CLIENTE0144,Feminino,63,Vestuário,3,101.43,294.6,11,0,Senior
1147,2023-05-12,CLIENTE0614,Feminino,45,Eletrônicos,1,267.72,262.37,5,0,Adulto
1148,2023-02-09,CLIENTE0236,Feminino,66,Vestuário,2,561.51,1130.68,2,0,Senior
1149,2023-05-25,CLIENTE0169,Feminino,64,Vestuário,2,470.99,938.32,5,0,Senior
1150,2023-06-22,CLIENTE0089,Feminino,65,Vestuário,5,50.33,253.71,6,0,Senior
1151,2023-06-16,CLIENTE1324,Masculino,63,Vestuário,4,542.12,2160.36,6,0,Senior
1152,2023-10-01,CLIENTE0654,Feminino,22,Beleza,1,26.64,23.44,10,1,Jovem
1153,2023-04-09,CLIENTE0553,Masculino,23,Vestuário,2,590,1180.86,4,1,Jovem
1154,2023-12-08,CLIENTE1055,Masculino,46,Beleza,3,32.53,101.5,12,0,MeiaIdade
1155,2023-10-15,CLIENTE0651,Feminino,61,Beleza,5,61.91,317.84,10,1,Senior
1156,2023-02-13,CLIENTE1564,Masculino,38,Beleza,2,60.71,128.06,2,0,Adulto
1157,2023-06-08,CLIENTE0679,Feminino,70,Beleza,3,50.88,145.53,6,0,Senior
1158,2023-03-29,CLIENTE0975,Feminino,28,Vestuário,1,227.69,222.96,3,0,Adulto
1159,2023-03-19,CLIENTE1731,Masculino,30,Vestuário,1,307.48,301.96,3,1,Adulto
1160,2023-02-26,CLIENTE0736,Feminino,23,Beleza,2,24.15,50.66,2,1,Jovem
1161,2023-01-10,CLIENTE1505,Masculino,46,Vestuário,2,589.14,1186.96,1,0,MeiaIdade
1162,2023-08-23,CLIENTE0596,Feminino,48,Vestuário,2,572.23,1152.74,8,0,MeiaIdade
1163,2023-11-25,CLIENTE0878,Feminino,70,Vestuário,4,289.98,1169.14,11,1,Senior
1164,2023-09-15,CLIENTE0725,Feminino,35,Vestuário,1,511.4,516.54,9,0,Adulto
1165,2023-07-01,CLIENTE1888,Feminino,56,Beleza,3,104.48,318.19,7,1,MeiaIdade
1166,2023-07-17,CLIENTE0858,Feminino,36,Vestuário,2,465.28,931.44,7,0,Adulto
1167,2023-06-28,CLIENTE1871,Feminino,63,Vestuário,1,590.99,584.41,6,0,Senior
1168,2023-12-05,CLIENTE1495,Feminino,44,Eletrônicos,1,173.07,176.7,12,0,Adulto
1169,2023-06-07,CLIENTE1018,Masculino,44,Eletrônicos,3,165.27,491.69,6,0,Adulto
1170,2023-11-17,CLIENTE0822,Feminino,34,Vestuário,1,452.37,447.82,11,0,Adulto
1171,2023-11-18,CLIENTE1941,Feminino,56,Vestuário,5,547.87,2736.78,11,1,MeiaIdade
1172,2023-07-06,CLIENTE1658,Masculino,70,Eletrônicos,1,295.07,295.68,7,0,Senior
1173,2023-10-04,CLIENTE0570,Masculino,63,Beleza,5,149.35,742.09,10,0,Senior
1174,2023-12-28,CLIENTE0472,Masculino,56,Vestuário,2,538.37,1084.86,12,0,MeiaIdade
1175,2023-03-12,CLIENTE0180,Feminino,21,Vestuário,4,350.39,1394.92,3,1,Jovem
1176,2023-02-13,CLIENTE1578,Feminino,39,Beleza,4,122.43,496.47,2,0,Adulto
1177,2023-07-15,CLIENTE0193,Feminino,45,Vestuário,3,81.53,253.74,7,1,Adulto
1178,2023-12-09,CLIENTE1204,Masculino,45,Beleza,2,113.48,232.94,12,1,Adulto
1179,2023-07-24,CLIENTE1215,Feminino,26,Beleza,2,123.94,244.71,7,0,Adulto
1180,2023-11-25,CLIENTE0326,Masculino,58,Beleza,1,94.96,91.81,11,1,MeiaIdade
1181,2023-07-13,CLIENTE0895,Feminino,61,Beleza,2,78.87,162.5,7,0,Senior
1182,2023-03-20,CLIENTE1915,Feminino,49,Beleza,2,124.3,242.1,3,0,MeiaIdade
1183,2023-07-05,CLIENTE0999,Masculino,59,Vestuário,2,54.58,101.29,7,0,MeiaIdade
1184,2023-08-20,CLIENTE1059,Feminino,40,Vestuário,2,311.82,626.55,8,1,Adulto
1185,2023-04-27,CLIENTE1440,Masculino,18,Vestuário,2,433.96,877.8,4,0,Jovem
1186,2023-06-26,CLIENTE1962,Masculino,33,Beleza,1,55.45,47.85,6,0,Adulto
1187,2023-01-15,CLIENTE1777,Feminino,46,Beleza,2,128,259.44,1,1,MeiaIdade
1188,2023-11-26,CLIENTE1134,Feminino,60,Eletrônicos,1,149.12,152.42,11,1,MeiaIdade
1189,2023-06-06,CLIENTE0234,Feminino,36,Eletrônicos,1,190.51,193.83,6,0,Adulto
1190,2023-12-25,CLIENTE0132,Masculino,55,Eletrônicos,1,329.37,327.1,12,0,MeiaIdade
1191,2023-12-07,CLIENTE1246,Masculino,43,Beleza,3,21.44,70.94,12,0,Adulto
1192,2023-01-02,CLIENTE0494,Masculino,52,Vestuário,1,581.6,583.43,1,0,MeiaIdade
1193,2023-03-17,CLIENTE1566,Feminino,29,Beleza,3,38.16,108.01,3,0,Adulto
1194,2023-02-28,CLIENTE0959,Feminino,59,Beleza,1,113.03,114.1,2,0,MeiaIdade
1195,2023-01-09,CLIENTE1488,Masculino,59,Beleza,1,114.29,114.01,1,0,MeiaIdade
1196,2023-11-22,CLIENTE1249,Masculino,65,Vestuário,3,462.07,1393.15,11,0,Senior
1197,2023-02-01,CLIENTE0626,Feminino,46,Beleza,1,74.45,79.18,2,0,MeiaIdade
1198,2023-09-13,CLIENTE0718,Feminino,25,Vestuário,2,38.85,72.09,9,0,Jovem
1199,2023-01-26,CLIENTE0950,Masculino,50,Vestuário,1,361.66,357.44,1,0,MeiaIdade
1200,2023-04-03,CLIENTE1195,Feminino,38,Vestuário,1,360.95,352.2,4,0,Adulto
1201,2023-02-07,CLIENTE0336,Feminino,44,Beleza,1,83.23,73.55,2,0,Adulto
1202,2023-02-23,CLIENTE0069,Feminino,50,Vestuário,2,115.98,228.98,2,0,MeiaIdade
1203,2023-04-01,CLIENTE0411,Masculino,44,Vestuário,3,170.32,515.61,4,1,Adulto
1204,2023-04-25,CLIENTE1347,Feminino,59,Beleza,3,110.63,323.33,4,0,MeiaIdade
1205,2023-07-15,CLIENTE1337,Masculino,31,Beleza,2,94.08,182.42,7,1,Adulto
1206,2023-03-17,CLIENTE0611,Masculino,31,Beleza,5,48.9,238.94,3,0,Adulto
1207,2023-04-29,CLIENTE1097,Masculino,62,Eletrônicos,3,237.31,715.92,4,1,Senior
1208,2023-01-17,CLIENTE0528,Feminino,35,Beleza,2,28.44,50.78,1,0,Adulto
1209,2023-04-17,CLIENTE0165,Feminino,56,Vestuário,1,182.3,186.43,4,0,MeiaIdade
1210,2023-04-28,CLIENTE1813,Masculino,62,Vestuário,1,417.39,412.38,4,0,Senior
1211,2023-04-24,CLIENTE1553,Masculino,52,Beleza,2,135.61,266.42,4,0,MeiaIdade
1212,2023-11-28,CLIENTE0196,Masculino,40,Beleza,3,103.77,307.91,11,0,Adulto
1213,2023-08-02,CLIENTE0365,Feminino,40,Vestuário,2,177.54,357.98,8,0,Adulto
1214,2023-10-23,CLIENTE1436,Feminino,27,Vestuário,3,589.74,1766.36,10,0,Adulto
1215,2023-08-03,CLIENTE0418,Masculino,19,Eletrônicos,1,45.46,49.85,8,0,Jovem
1216,2023-05-31,CLIENTE0876,Masculino,33,Eletrônicos,2,288.42,576.48,5,0,Adulto
1217,2023-10-13,CLIENTE0926,Feminino,20,Eletrônicos,2,207.34,416.62,10,0,Jovem
1218,2023-04-19,CLIENTE1387,Feminino,22,Beleza,2,116.05,241.27,4,0,Jovem
1219,2023-01-03,CLIENTE1540,Feminino,64,Beleza,3,70.66,203.41,1,0,Senior
1220,2023-06-17,CLIENTE1820,Masculino,53,Vestuário,1,181.95,182.75,6,1,MeiaIdade
1221,2023-03-28,CLIENTE0542,Feminino,25,Beleza,4,127.45,519.65,3,0,Jovem
1222,2023-08-26,CLIENTE1952,Masculino,32,Vestuário,1,46.86,44.14,8,1,Adulto
1223,2023-07-26,CLIENTE0817,Masculino,48,Beleza,1,144.91,136.83,7,0,MeiaIdade
1224,2023-10-04,CLIENTE0187,Feminino,21,Beleza,3,20.12,69.27,10,0,Jovem
1225,2023-04-22,CLIENTE1753,Masculino,19,Beleza,2,55.92,105.18,4,1,Jovem
1226,2023-06-15,CLIENTE0552,Masculino,27,Beleza,1,138.17,140.07,6,0,Adulto
1227,2023-01-23,CLIENTE1810,Masculino,22,Beleza,1,118.82,115.51,1,0,Jovem
1228,2023-06-14,CLIENTE1326,Feminino,46,Beleza,2,111.63,226.11,6,0,MeiaIdade
1229,2023-08-04,CLIENTE0662,Masculino,35,Vestuário,1,418.85,410.41,8,0,Adulto
1230,2023-05-02,CLIENTE0814,Masculino,55,Beleza,3,95.77,294.11,5,0,MeiaIdade
1231,2023-02-22,CLIENTE0087,Masculino,47,Vestuário,3,387.62,1153.86,2,0,MeiaIdade
1232,2023-08-06,CLIENTE0704,Feminino,27,Vestuário,3,383.11,1156.02,8,1,Adulto
1233,2023-04-08,CLIENTE0075,Feminino,39,Vestuário,2,437.74,872.15,4,1,Adulto
1234,2023-04-15,CLIENTE0541,Masculino,69,Beleza,3,90.26,260.93,4,1,Senior
1235,2023-01-26,CLIENTE0282,Masculino,45,Beleza,1,22.29,13.25,1,0,Adulto
1236,2023-07-27,CLIENTE1707,Masculino,60,Beleza,2,77.28,163.55,7,0,MeiaIdade
